artist_name,count
M Dot R,1
Eve,1
Owen Broder,1
Bryan Adams,1
Descendents,1
YNW Melly,1
REZZMAU5,1
YUNGBLUD,1
Ty Dolla $ign,1
le Shuuk,1
Muwop,1
Blind Melon,1
Blind Channel,1
The Band CAMINO,1
Slightly Stoopid,1
Coldplay,1
Soothe My Soul,1
Kayzo,1
Morat,1
SLANDER,1
Erik Satie,1
Halsey,1
BossMan Dlow,1
Pretenders,1
Execution Day,1
The Wanted,1
Metric,1
TSS,1
Pat Benatar,1
Blueface,1
keshi,1
Ivan Gough,1
Idina Menzel,1
Amy Winehouse,1
Taylor Acorn,1
Alice In Chains,1
Social Distortion,1
Yellow Claw,1
Red,1
Vitja,1
Chris Cornell,1
Jack Harlow,1
Love and Death,1
Nine Lashes,1
Emarosa,1
Breathe Carolina,1
Aram Khachaturian,1
Luigi Boccherini,1
Cash Cash,1
ALPHAMEGA,1
Nessa Barrett,1
HEALTH,1
MIYAVI,1
Tom Petty and the Heartbreakers,1
Tears For Fears,1
T.I.,1
Young M.A,1
Hit The Lights,1
Meek Mill,1
Discrepancies,1
Anti-Flag,1
The Summer Set,1
Lil Skies,1
Danny Towers,1
Outline In Color,1
Emphatic,1
Something Corporate,1
Arctic Monkeys,1
Shogun,1
Friedrich Burgmüller,1
Mark Sixma,1
T-Pain,1
Normandie,1
Dead Lakes,1
Bad/Love,1
Frederick Delius,1
Cascada,1
Chappell Roan,1
Violent Femmes,1
Tevvez,1
Ghostluvme,1
Jack Johnson,1
Blacklisted Me,1
Ellie Goulding,1
Young Nudy,1
Adele,1
Mumford & Sons,1
Future,1
Gucci Mane,1
Tazi,1
KhoMha,1
Bleeker,1
LOWBORN,1
Rae Sremmurd,1
The Veer Union,1
DJ Scheme,1
Clark S. Nova,1
Lost in Hollywood,1
Unsafe Unsound,1
Combichrist,1
LUCKI,1
Avancada,1
Designer Disguise,1
The Beautiful Monument,1
Planet Perfecto Knights,1
Harvey Danger,1
Stone Temple Pilots,1
Bush,1
BlocBoy JB,1
Emmure,1
Asmodai,1
Clara Schumann,1
Fight The Fade,1
Saliva,1
Cochise,1
Black Sabbath,1
Train,1
Modest Mouse,1
Void Chapter,1
Steve Lacy,1
Sublime,1
The Rolling Stones,1
Iron Maiden,1
